rank,weeks_hindex,peak_hindex,integrated_hindex,total_songs,artist
2577,2,2,1.89,2,"Julie Rogers"
2578,2,2,1.66,2,"The Hullaballoos"
2579,2,2,1.71,2,"The Detergents"
2580,2,2,1.67,2,"The Waikikis"
2581,2,2,2.00,2,"Alvin Cash & The Crawlers"
2582,2,2,1.48,2,"Reparata And The Delrons"
2583,2,2,1.91,2,"Jewel Akens"
2584,2,2,2.00,2,"The Trade Winds"
2585,2,2,1.71,2,"Fontella Bass & Bobby McClure"
2586,2,2,1.99,2,"Glenn Yarbrough"
2587,2,2,2.00,2,"Wayne Fontana & The Mindbenders"
2588,2,2,1.88,2,"Sounds Orchestral"
2589,2,2,1.66,2,"Unit Four plus Two"
2590,2,2,1.26,2,"Radiants"
2591,2,2,1.92,2,"The Ovations (Featuring Louis Williams)"
2592,2,2,1.73,2,"Fred Hughes"
2593,2,2,1.83,2,"The Royalettes"
2594,2,2,2.00,2,"We Five"
2595,2,2,1.88,2,"Sonny"
2596,2,2,1.76,2,"Jonathan King"
2597,2,2,1.42,2,"The Barbarians"
2598,2,2,1.16,2,"Bobby Powell"
2599,2,2,2.00,2,"Noel Harrison"
2600,2,2,1.93,2,"The T-Bones"
2601,2,2,1.71,2,"Red Sovine"
2602,2,2,2.00,2,"Bobby Fuller Four"
2603,2,2,2.00,2,"SSgt Barry Sadler"
2604,2,2,1.99,2,"Verdelle Smith"
2605,2,2,2.00,2,"B.J. Thomas And The Triumphs"
2606,2,2,2.00,2,"The Brass Ring featuring Phil Bodner"
2607,2,2,2.00,2,"Shadows Of Knight"
2608,2,2,0.00,2,"Nancy Ames"
2609,2,2,1.55,2,"J.J. Barnes"
2610,2,2,1.97,2,"The Mindbenders"
2611,2,2,1.84,2,"Robert Parker"
2612,2,2,0.00,2,"Mrs. Miller"
2613,2,2,1.85,2,"Shades Of Blue"
2614,2,2,1.81,2,"Ray Conniff And The Singers"
2615,2,2,1.62,2,"""Groove"" Holmes"
2616,2,2,0.00,2,"The Buena Vistas"
2617,2,2,2.00,2,"Darrell Banks"
2618,2,2,1.74,2,"Alvin Cash & The Registers"
2619,2,2,1.90,2,"J.J. Jackson"
2620,2,2,1.38,2,"Lorraine Ellison"
2621,2,2,1.63,2,"The Joe Cuba Sextet"
2622,2,2,1.93,2,"The New Vaudeville Band"
2623,2,2,1.98,2,"The Music Machine"
2624,2,2,1.68,2,"The Innocence"
2625,2,2,2.00,2,"The Electric Prunes"
2626,2,2,1.83,2,"The Artistics"
2627,2,2,1.78,2,"Spyder Turner"
2628,2,2,1.69,2,"The Sopwith ""Camel"""
2629,2,2,1.76,2,"Bob Crewe Generation"
2630,2,2,1.02,2,"Lou Courtney"
2631,2,2,1.70,2,"Toussaint McCall"
2632,2,2,1.05,2,"The Merry-Go-Round"
2633,2,2,1.77,2,"Jon & Robin And The In Crowd"
2634,2,2,1.95,2,"The Music Explosion"
2635,2,2,2.00,2,"Scott McKenzie"
2636,2,2,0.00,2,"Sagittarius"
2637,2,2,1.19,2,"The Love Generation"
2638,2,2,1.85,2,"The Parliaments"
2639,2,2,1.92,2,"The Vanilla Fudge"
2640,2,2,1.80,2,"Miriam Makeba"
2641,2,2,1.91,2,"Small Faces"
2642,2,2,1.58,2,"Kenny O'Dell"
2643,2,2,2.00,2,"The Union Gap Featuring Gary Puckett"
2644,2,2,1.71,2,"Wes Montgomery"
2645,2,2,2.00,2,"Billy Vera & Judy Clay"
2646,2,2,1.88,2,"The Human Beinz"
2647,2,2,2.00,2,"The Lemon Pipers"
2648,2,2,1.87,2,"Classics IV"
2649,2,2,2.00,2,"Paul Mauriat And His Orchestra"
2650,2,2,0.00,2,"Albert King"
2651,2,2,2.00,2,"The First Edition"
2652,2,2,1.63,2,"Jackie Wilson & Count Basie"
2653,2,2,1.93,2,"Hugo Montenegro, His Orchestra And Chorus"
2654,2,2,1.82,2,"Blue Cheer"
2655,2,2,0.00,2,"Jimmy James & The Vagabonds"
2656,2,2,1.76,2,"Four Jacks And A Jill"
2657,2,2,1.94,2,"Merrilee Rush & The Turnabouts"
2658,2,2,1.84,2,"Friend And Lover"
2659,2,2,1.89,2,"The Status Quo"
2660,2,2,1.27,2,"Little Carl Carlton"
2661,2,2,0.00,2,"Jerry Jeff Walker"
2662,2,2,1.93,2,"The O'Kaysions"
2663,2,2,1.74,2,"Don Fardon"
2664,2,2,1.97,2,"Derek"
2665,2,2,2.00,2,"Bobby Russell"
2666,2,2,1.84,2,"Bobbie Gentry & Glen Campbell"
2667,2,2,1.97,2,"Young-Holt Unlimited"
2668,2,2,1.49,2,"Merrilee Rush"
2669,2,1,0.00,2,"Ruby Winters"
2670,2,2,2.00,2,"The Brooklyn Bridge Featuring Johnny Maestro"
2671,2,2,2.00,2,"Supremes & Temptations"
2672,2,2,2.00,2,"Spiral Starecase"
2673,2,2,1.90,2,"Mercy"
2674,2,2,0.00,2,"Billie Jo Spears"
2675,2,2,1.99,2,"Buchanan Brothers"
2676,2,2,2.00,2,"The Beatles With Billy Preston"
2677,2,2,2.00,2,"The Winstons"
2678,2,2,0.00,2,"Orpheus"
2679,2,2,2.00,2,"Plastic Ono Band"
2680,2,2,2.00,2,"Jefferson"
2681,2,2,2.00,2,"Joe South and The Believers"
2682,2,2,1.85,2,"The Flying Machine"
2683,2,2,1.48,2,"The Brooklyn Bridge"
2684,2,2,2.00,2,"Steam"
2685,2,2,1.46,2,"The Glass House"
2686,2,2,1.83,2,"Arlo Guthrie"
2687,2,2,1.77,2,"Street People"
2688,2,2,0.00,2,"Johnny Winter"
2689,2,2,1.85,2,"The Tee Set"
2690,2,2,1.91,2,"Edison Lighthouse"
2691,2,2,2.00,2,"Little Sister"
2692,2,2,1.83,2,"Jack Blanchard & Misty Morgan"
2693,2,2,2.00,2,"Ike & Tina Turner & The Ikettes"
2694,2,2,2.00,2,"The Marmalade"
2695,2,2,1.97,2,"The 5 Stairsteps"
2696,2,2,2.00,2,"The Poppy Family (Featuring Susan Jacks)"
2697,2,2,1.90,2,"Mountain"
2698,2,2,1.84,2,"White Plains"
2699,2,2,1.88,2,"Blues Image"
2700,2,2,2.00,2,"Aretha Franklin with The Dixie Flyers"
2701,2,2,2.00,2,"Eric Burdon And War"
2702,2,2,1.80,2,"Pacific Gas And Electric"
2703,2,2,1.76,2,"Brook Benton With The Dixie Flyers"
2704,2,2,1.85,2,"Robin McNamara"
2705,2,2,1.64,2,"Neil Young & Crazy Horse"
2706,2,2,0.00,2,"The Satisfactions"
2707,2,2,1.61,2,"Paul Kelly"
2708,2,2,1.26,2,"The Grateful Dead"
2709,2,2,2.00,2,"Free"
2710,2,2,1.67,2,"Five Flights Up"
2711,2,2,1.65,2,"James Gang"
2712,2,2,0.00,2,"Traffic"
2713,2,2,1.71,2,"Teegarden & Van Winkle"
2714,2,2,1.94,2,"The Presidents"
2715,2,2,1.25,2,"Gary Puckett"
2716,2,2,1.93,2,"The Supremes & Four Tops"
2717,2,2,2.00,2,"Black Sabbath"
2718,2,2,2.00,2,"Jackie Moore"
2719,2,2,1.83,2,"The Buoys"
2720,2,2,2.00,2,"John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band"
2721,2,2,1.91,2,"Sammi Smith"
2722,2,2,0.00,2,"The Mob"
2723,2,2,2.00,2,"Dusk"
2724,2,2,1.88,2,"Derek & The Dominos"
2725,2,2,2.00,2,"Tin Tin"
2726,2,2,1.55,2,"Rose Colored Glass"
2727,2,2,1.05,2,"Runt-Todd Rundgren"
2728,2,2,1.89,2,"Hudson and Landry"
2729,2,2,2.00,2,"The James Gang"
2730,2,2,1.77,2,"Cymarron"
2731,2,2,1.69,2,"The Ebonys"
2732,2,2,2.00,2,"The Nite-Liters"
2733,2,2,2.00,2,"Lee Michaels"
2734,2,2,1.52,2,"Sha Na Na"
2735,2,2,0.00,2,"Dionne Warwicke"
2736,2,2,1.38,2,"Johnnie Taylor (The Soul Philosopher)"
2737,2,2,1.14,2,"Heaven Bound with Tony Scotti"
2738,2,2,1.90,2,"Coven"
2739,2,2,1.75,2,"Mickey Newbury"
2740,2,2,1.73,2,"Bullet"
2741,2,2,1.82,2,"Jerry Butler & Brenda Lee Eager"
2742,2,2,1.28,2,"Edgar Winter's White Trash"
2743,2,2,2.00,2,"Faces"
2744,2,2,1.26,2,"The JB's"
2745,2,2,1.89,2,"Sammy Davis, Jr. with The Mike Curb Congregation"
2746,2,2,0.00,2,"Kenny Loggins With Jim Messina"
2747,2,2,0.00,2,"Bang"
2748,2,2,1.87,2,"Mouth & MacNeal"
2749,2,1,1.64,2,"Graham Nash & David Crosby"
2750,2,2,1.87,2,"Johnny Cash And The Tennessee Three"
2751,2,2,1.83,2,"Joey Heatherton"
2752,2,2,2.00,2,"Looking Glass"
2753,2,2,1.51,2,"Stephen Stills-Manassas"
2754,2,2,2.00,2,"Gary Glitter"
2755,2,2,1.96,2,"Rick Nelson And The Stone Canyon Band"
2756,2,2,1.36,2,"Lyn Collins"
2757,2,2,1.80,2,"Lindisfarne"
2758,2,2,2.00,2,"Joe Cocker and The Chris Stainton Band"
2759,2,2,2.00,2,"Cashman & West"
2760,2,2,1.99,2,"Holland-Dozier"
2761,2,2,1.88,2,"King Harvest"
2762,2,2,2.00,2,"Hurricane Smith"
2763,2,2,2.00,2,"The Blue Ridge Rangers"
2764,2,2,1.31,2,"Shawn Phillips"
2765,2,2,1.80,2,"Barbara Fairchild"
2766,2,2,1.88,2,"Focus"
2767,2,2,1.95,2,"Sylvia (r&b)"
2768,2,2,0.00,2,"The Mystic Moods"
2769,2,2,1.81,2,"Foster Sylvers"
2770,2,2,1.71,2,"Sutherland Brothers And Quiver"
2771,2,2,2.00,2,"The DeFranco Family featuring Tony DeFranco"
2772,2,2,1.94,2,"David Essex"
2773,2,2,1.87,2,"Bobby ""Blue"" Bland"
2774,2,2,1.61,2,"Kris Kristofferson & Rita Coolidge"
2775,2,2,2.00,2,"Merle Haggard"
2776,2,2,1.82,2,"Wednesday"
2777,2,2,1.78,2,"Black Oak Arkansas"
2778,2,1,1.70,2,"Natural Four"
2779,2,2,2.00,2,"Carly Simon & James Taylor"
2780,2,2,2.00,2,"Sami Jo"
2781,2,2,2.00,2,"Maria Muldaur"
2782,2,2,1.91,2,"MFSB Featuring The Three Degrees"
2783,2,2,1.98,2,"Herbie Hancock"
2784,2,2,1.67,2,"The Eleventh Hour"
2785,2,2,2.00,2,"William DeVaughn"
2786,2,2,1.98,2,"Dave Loggins"
2787,2,2,2.00,2,"Fancy"
2788,2,2,1.95,2,"First Class"
2789,2,2,1.86,2,"Jim Weatherly"
2790,2,2,1.92,2,"Prelude"
2791,2,2,2.00,2,"Carl Douglas"
2792,2,2,2.00,2,"Latimore"
2793,2,2,1.82,2,"Shirley Brown"
2794,2,2,1.87,2,"Carol Douglas"
2795,2,2,1.56,2,"Carl Graves"
2796,2,2,1.88,2,"Sugarloaf/Jerry Corbetta"
2797,2,2,2.00,2,"Labelle"
2798,2,2,1.83,2,"Shirley And Company"
2799,2,2,1.92,2,"Minnie Riperton"
2800,2,2,2.00,2,"Ramsey Lewis And Earth, Wind & Fire"
2801,2,2,1.71,2,"Charlie Ross"
2802,2,2,1.07,2,"Odia Coates"
2803,2,2,1.90,2,"Ace"
2804,2,2,1.94,2,"Kraftwerk"
2805,2,2,1.25,2,"Loleatta Holloway"
2806,2,2,1.64,2,"Ron Banks And The Dramatics"
2807,2,2,1.46,2,"Grover Washington, Jr."
2808,2,2,1.45,2,"Justin Hayward & John Lodge"
2809,2,2,1.64,2,"New Birth"
2810,2,2,1.58,2,"MFSB"
2811,2,2,1.87,2,"Gary Toms Empire"
2812,2,2,1.92,2,"Morris Albert"
2813,2,2,2.00,2,"David Geddes"
2814,2,2,0.00,2,"Batdorf & Rodney"
2815,2,2,1.85,2,"People's Choice"
2816,2,2,1.42,2,"Biddu Orchestra"
2817,2,1,1.69,2,"Johnny Guitar Watson"
2818,2,2,1.41,2,"David Crosby/Graham Nash"
2819,2,2,1.90,2,"Nazareth"
2820,2,2,0.00,2,"Soul Train Gang"
2821,2,2,1.84,2,"Cledus Maggard And The Citizen's Band"
2822,2,2,1.81,2,"Norman Connors"
2823,2,2,1.83,2,"Cate Bros."
2824,2,2,2.00,2,"Michel Polnareff"
2825,2,2,2.00,2,"Brass Construction"
2826,2,2,1.72,2,"Gallagher And Lyle"
2827,2,2,1.49,2,"Melba Moore"
2828,2,2,1.92,2,"Thin Lizzy"
2829,2,2,0.00,2,"Dana Valery"
2830,2,2,2.00,2,"Elton John & Kiki Dee"
2831,2,2,1.29,2,"Hamilton, Joe Frank & Dennison"
2832,2,2,2.00,2,"Rick Dees & His Cast Of Idiots"
2833,2,2,1.93,2,"Barry DeVorzon And Perry Botikin Jr."
2834,2,2,2.00,2,"Average White Band"
2835,2,2,1.22,2,"Mother's Finest"
2836,2,2,1.86,2,"Dr. Buzzard's Original Savannah Band"
2837,2,2,1.93,2,"Smokie"
2838,2,2,1.77,2,"Bryan Ferry"
2839,2,2,1.73,2,"Mass Production"
2840,2,2,1.73,2,"Cerrone"
2841,2,2,1.95,2,"T-Connection"
2842,2,2,1.96,2,"Alan O'Day"
2843,2,2,1.80,2,"Maynard Ferguson"
2844,2,2,1.72,2,"Angel"
2845,2,2,2.00,2,"Bill Conti"
2846,2,2,2.00,2,"Mac McAnally"
2847,2,2,1.95,2,"Paul Nicholas"
2848,2,2,1.74,2,"Jesse Winchester"
2849,2,2,1.63,2,"Lenny LeBlanc"
2850,2,2,1.82,2,"Ronnie McDowell"
2851,2,2,1.12,2,"Jane Olivor"
2852,2,2,1.21,2,"David Castle"
2853,2,2,1.87,2,"Carole Bayer Sager"
2854,2,2,2.00,2,"Randy Newman"
2855,2,2,1.99,2,"Odyssey"
2856,2,2,0.00,2,"Steve Martin"
2857,2,2,1.60,2,"Ramones"
2858,2,2,2.00,2,"Jay Ferguson"
2859,2,2,2.00,2,"George Duke"
2860,2,2,2.00,2,"Raydio"
2861,2,1,0.00,2,"Eloise Laws"
2862,2,2,1.81,2,"Stargard"
2863,2,2,1.78,2,"Claudja Barry"
2864,2,2,2.00,2,"Peter Brown With Betty Wright"
2865,2,2,2.00,2,"Warren Zevon"
2866,2,2,1.70,2,"Allan Clarke"
2867,2,2,1.85,2,"Patti Smith Group"
2868,2,2,1.28,2,"Fotomaker"
2869,2,2,1.92,2,"Alicia Bridges"
2870,2,2,2.00,2,"Foxy"
2871,2,2,1.13,2,"The Tarney/Spencer Band"
2872,2,2,1.84,2,"Stonebolt"
2873,2,2,2.00,2,"Robin Gibb"
2874,2,2,0.00,2,"Zwol"
2875,2,2,1.49,2,"Faith Band"
2876,2,2,1.26,2,"Sad Cafe"
2877,2,2,1.95,2,"Amii Stewart"
2878,2,2,1.33,2,"Cindy Bullens"
2879,2,2,1.66,2,"Ironhorse"
2880,2,2,1.82,2,"Narada Michael Walden"
2881,2,2,1.54,2,"Liquid Gold"
2882,2,2,1.81,2,"New England"
2883,2,2,1.91,2,"Anita Ward"
2884,2,2,2.00,2,"Waylon"
2885,2,2,1.81,2,"Night"
2886,2,2,1.82,2,"GQ"
2887,2,2,1.56,2,"Oak"
2888,2,2,2.00,2,"Moon Martin"
2889,2,2,1.97,2,"Teri DeSario With K.C."
2890,2,2,1.88,2,"Steve Forbert"
2891,2,2,2.00,2,"Billy Preston & Syreeta"
2892,2,2,1.27,2,"Gamma"
2893,2,2,1.83,2,"Bruce Cockburn"
2894,2,2,1.99,2,"Bernadette Peters"
2895,2,2,1.99,2,"Lipps, Inc."
2896,2,2,1.62,2,"Red Rider"
2897,2,2,1.62,2,"The Fools"
2898,2,2,2.00,2,"Tommy Tutone"
2899,2,2,2.00,2,"Ali Thomson"
2900,2,2,2.00,2,"Johnny Lee"
2901,2,2,1.02,2,"Touch"
2902,2,2,0.00,2,"The Silencers"
2903,2,2,1.90,2,"Jon & Vangelis"
2904,2,2,1.16,2,"Kurtis Blow"
2905,2,2,2.00,2,"Nielsen/Pearson"
2906,2,2,1.85,2,"Jimmy Hall"
2907,2,2,1.80,2,"707"
2908,2,2,2.00,2,"Barbra Streisand & Barry Gibb"
2909,2,2,1.57,2,"The Reddings"
2910,2,2,1.94,2,"Delbert McClinton"
2911,2,2,1.88,2,"Terri Gibbs"
2912,2,1,0.00,2,"McGuffey Lane"
2913,2,2,2.00,2,"Champaign"
2914,2,2,1.97,2,"Stars On 45"
2915,2,2,1.71,2,"Billy & The Beaters"
2916,2,2,1.94,2,"Lee Ritenour"
2917,2,2,2.00,2,"Robbie Patton"
2918,2,2,2.00,2,"Balance"
2919,2,2,2.00,2,"Quincy Jones Featuring James Ingram"
2920,2,2,0.00,2,"West Street Mob"
2921,2,2,1.89,2,"Sneaker"
2922,2,2,1.93,2,"Roger"
2923,2,2,2.00,2,"Bertie Higgins"
2924,2,2,0.00,2,"All Sports Band"
2925,2,2,1.80,2,"Eddie Schwartz"
2926,2,2,2.00,2,"The John Hall Band"
2927,2,2,2.00,2,"Bill Champlin"
2928,2,2,2.00,2,"Skyy"
2929,2,2,1.82,2,"Greg Guidry"
2930,2,2,1.93,2,"Aldo Nova"
2931,2,2,1.66,2,"Duke Jupiter"
2932,2,2,2.00,2,"Pia Zadora"
2933,2,2,1.71,2,"Eye To Eye"
2934,2,2,1.27,2,"Bow Wow Wow"
2935,2,1,1.11,2,"Axe"
2936,2,2,1.00,2,"Josie Cotton"
2937,2,2,2.00,2,"Steel Breeze"
2938,2,2,2.00,2,"Timothy B. Schmit"
2939,2,2,1.97,2,"Musical Youth"
2940,2,2,1.91,2,"Dexys Midnight Runners"
2941,2,2,1.90,2,"After The Fire"
2942,2,2,1.85,2,"Patrick Simmons"
2943,2,2,1.49,2,"Modern English"
2944,2,2,1.91,2,"Kajagoogoo"
2945,2,2,1.90,2,"The Belle Stars"
2946,2,2,1.64,2,"The Call"
2947,2,2,2.00,2,"Michael Sembello"
2948,2,2,1.51,2,"Nona Hendryx"
2949,2,2,1.71,2,"Mtume"
2950,2,2,2.00,2,"Peter Schilling"
2951,2,2,2.00,2,"John Cougar Mellencamp"
2952,2,2,1.86,2,"Re-flex"
2953,2,2,1.94,2,"The Deele"
2954,2,2,2.00,2,"Christine McVie"
2955,2,2,2.00,2,"Rockwell"
2956,2,2,1.26,2,"B.E. Taylor Group"
2957,2,2,1.89,2,"Dwight Twilley"
2958,2,2,1.91,2,"Tracey Ullman"
2959,2,2,2.00,2,"James Ingram"
2960,2,2,1.83,2,"The Style Council"
2961,2,2,1.24,2,"Billy Satellite"
2962,2,2,1.55,2,"Vanity"
2963,2,2,2.00,2,"Sam Harris"
2964,2,2,1.43,2,"Krokus"
2965,2,2,1.06,2,"Freddie Mercury"
2966,2,2,2.00,2,"The Honeydrippers"
2967,2,2,1.96,2,"Alphaville"
2968,2,2,1.22,2,"Eugene Wilde"
2969,2,2,2.00,2,"Paul Hardcastle"
2970,2,2,1.75,2,"Greg Kihn"
2971,2,2,2.00,2,"Isley, Jasper, Isley"
2972,2,2,1.81,2,"Alison Moyet"
2973,2,2,1.67,2,"Jesse Johnson's Revue"
2974,2,2,2.00,2,"Limahl"
2975,2,2,1.11,2,"Belouis Some"
2976,2,2,2.00,2,"Lisa Lisa And Cult Jam With Full Force"
2977,2,2,1.89,2,"David Foster"
2978,2,2,1.76,2,"El DeBarge With DeBarge"
2979,2,2,1.70,2,"Oingo Boingo"
2980,2,2,1.90,2,"Scritti Politti"
2981,2,2,2.00,2,"Morris Day"
2982,2,2,2.00,2,"Eddie Murphy"
2983,2,2,1.93,2,"Baltimora"
2984,2,2,2.00,2,"Arcadia"
2985,2,2,2.00,2,"The Dream Academy"
2986,2,2,1.89,2,"Sly Fox"
2987,2,2,1.83,2,"Robert Tepper"
2988,2,2,1.95,2,"Divinyls"
2989,2,2,1.94,2,"Force M.D.'s"
2990,2,2,2.00,2,"Falco"
2991,2,2,2.00,2,"Bourgeois Tagg"
2992,2,2,1.88,2,"GTR"
2993,2,2,1.91,2,"Andy Taylor"
2994,2,2,1.82,2,"Device"
2995,2,2,2.00,2,"Don Johnson"
2996,2,2,2.00,2,"David & David"
2997,2,2,2.00,2,"Gregory Abbott"
2998,2,2,2.00,2,"Chico DeBarge"
2999,2,2,1.36,2,"Howard Hewett"
3000,2,2,2.00,2,"The Communards"
3001,2,2,2.00,2,"Club Nouveau"
3002,2,2,2.00,2,"The Breakfast Club"
3003,2,2,2.00,2,"Pseudo Echo"
3004,2,2,2.00,2,"Restless Heart"
3005,2,2,2.00,2,"The Other Ones"
3006,2,2,0.00,2,"Newcity Rockers"
3007,2,2,1.57,2,"Kool Moe Dee"
3008,2,2,1.93,2,"The Nylons"
3009,2,2,1.87,2,"Suzanne Vega"
3010,2,2,1.85,2,"Living In A Box"
3011,2,2,1.42,2,"Jon Astley"
3012,2,1,1.23,2,"Ana"
3013,2,2,1.18,2,"Pepsi & Shirlie"
3014,2,2,1.99,2,"Noel"
3015,2,2,1.62,2,"David Hallyday"
3016,2,2,1.72,2,"Wa Wa Nee"
3017,2,2,2.00,2,"Pretty Poison"
3018,2,2,2.00,2,"The Kane Gang"
3019,2,2,2.00,2,"Boy George"
3020,2,2,1.39,2,"Gene Loves Jezebel"
3021,2,2,1.91,2,"Peabo Bryson & Regina Belle"
3022,2,2,1.89,2,"Times Two"
3023,2,2,1.78,2,"Tami Show"
3024,2,2,2.00,2,"Johnny Hates Jazz"
3025,2,2,2.00,2,"Brenda K. Starr"
3026,2,2,1.63,2,"Underworld"
3027,2,2,1.76,2,"Ziggy Marley And The Melody Makers"
3028,2,2,2.00,2,"Johnny Kemp"
3029,2,2,2.00,2,"Wet Wet Wet"
3030,2,2,1.79,2,"Ice-T"
3031,2,2,1.84,2,"Fat Boys"
3032,2,2,2.00,2,"Giant Steps"
3033,2,2,2.00,2,"Rob Base & D.J. E-Z Rock"
3034,2,2,1.89,2,"When In Rome"
3035,2,2,1.79,2,"Tommy Conwell And The Young Rumblers"
3036,2,2,1.85,2,"Ivan Neville"
3037,2,2,2.00,2,"Siouxsie & The Banshees"
3038,2,2,2.00,2,"Traveling Wilburys"
3039,2,2,1.74,2,"Eighth Wonder"
3040,2,2,2.00,2,"Edie Brickell & New Bohemians"
3041,2,2,2.00,2,"The Boys"
3042,2,2,2.00,2,"Kon Kan"
3043,2,2,1.67,2,"House Of Lords"
3044,2,2,1.56,2,"Inner City"
3045,2,2,1.92,2,"Waterfront"
3046,2,2,1.49,2,"BulletBoys"
3047,2,2,1.91,2,"Love And Rockets"
3048,2,2,1.66,2,"The Cult"
3049,2,2,1.89,2,"De La Soul"
3050,2,2,2.00,2,"Whistle"
3051,2,2,1.90,2,"The Jeff Healey Band"
3052,2,2,1.85,2,"Grayson Hugh"
3053,2,2,2.00,2,"Chuckii Booker"
3054,2,2,1.56,2,"Indigo Girls"
3055,2,2,1.76,2,"Sharon Bryant"
3056,2,2,2.00,2,"Kevin Paige"
3057,2,2,2.00,2,"Giant"
3058,2,2,1.87,2,"Shana"
3059,2,2,1.92,2,"Enuff Z'Nuff"
3060,2,2,1.93,2,"Jive Bunny & The Mastermixers"
3061,2,2,2.00,2,"Michael Penn"
3062,2,2,2.00,2,"Alannah Myles"
3063,2,2,1.94,2,"A'me Lorain"
3064,2,1,1.88,2,"Technotronic"
3065,2,2,2.00,2,"The U-Krew"
3066,2,2,1.87,2,"The Brat Pack"
3067,2,2,2.00,2,"Jane Child"
3068,2,2,2.00,2,"Calloway"
3069,2,2,2.00,2,"Sinead O'Connor"
3070,2,2,2.00,2,"Digital Underground"
3071,2,2,2.00,2,"L.A. Guns"
3072,2,2,1.16,2,"Beats International"
3073,2,2,1.96,2,"Louie Louie"
3074,2,2,1.76,2,"Lightning Seeds"
3075,2,2,0.00,2,"Little Caesar"
3076,2,2,1.80,2,"Kid Frost"
3077,2,2,2.00,2,"Jon Bon Jovi"
3078,2,2,1.85,2,"The Adventures Of Stevie V"
3079,2,2,2.00,2,"Deee-Lite"
3080,2,2,1.92,2,"2 In A Room"
3081,2,2,2.00,2,"Chris Isaak"
3082,2,2,2.00,2,"Another Bad Creation"
3083,2,2,2.00,2,"Father M.C."
3084,2,2,1.98,2,"Susanna Hoffs"
3085,2,2,1.70,2,"Shawn Christopher"
3086,2,2,2.00,2,"Steelheart"
3087,2,2,1.86,2,"Keedy"
3088,2,2,2.00,2,"Jasmine Guy"
3089,2,2,2.00,2,"EMF"
3090,2,2,2.00,2,"Jesus Jones"
3091,2,2,1.93,2,"Lisa Fischer"
3092,2,2,2.00,2,"PC Quest"
3093,2,2,1.72,2,"Damian Dame"
3094,2,2,2.00,2,"Keith Washington"
3095,2,2,1.82,2,"Desmond Child"
3096,2,2,2.00,2,"The KLF"
3097,2,2,1.29,2,"Cynthia"
3098,2,2,1.86,2,"Icy Blu"
3099,2,2,1.83,2,"Jomanda"
3100,2,2,2.00,2,"Natural Selection"
3101,2,2,0.00,2,"Lonnie Gordon"
3102,2,2,2.00,2,"Big Audio"
3103,2,2,2.00,2,"Geto Boys"
3104,2,2,2.00,2,"Public Enemy"
3105,2,2,1.17,2,"Voice Of The Beehive"
3106,2,2,1.87,2,"Kym Sims"
3107,2,2,2.00,2,"Stacy Earl"
3108,2,2,1.97,2,"Right Said Fred"
3109,2,2,1.69,2,"2nd II None"
3110,2,2,1.75,2,"Blur"
3111,2,2,2.00,2,"M.C. Brains"
3112,2,2,1.96,2,"NKOTB"
3113,2,2,1.90,2,"Kathy Troccoli"
3114,2,2,1.88,2,"Black Sheep"
3115,2,2,2.00,2,"Luke"
3116,2,2,2.00,2,"Ugly Kid Joe"
3117,2,2,2.00,2,"Mitch Malloy"
3118,2,2,2.00,2,"Nice & Smooth"
3119,2,2,1.92,2,"Tom Cochrane"
3120,2,2,1.92,2,"Shabba Ranks"
3121,2,2,2.00,2,"2 Unlimited"
3122,2,2,1.93,2,"Technotronic Featuring Ya Kid K"
3123,2,2,1.80,2,"Pete Rock & C.L. Smooth"
3124,2,2,1.90,2,"Rozalla"
3125,2,2,2.00,2,"Shakespear's Sister"
3126,2,2,1.91,2,"N2Deep"
3127,2,2,1.83,2,"EPMD"
3128,2,2,1.85,2,"AB Logic"
3129,2,1,0.00,2,"MC Nas-D & DJ Fred"
3130,2,2,2.00,2,"Wreckx-N-Effect"
3131,2,2,1.59,2,"Grand Puba"
3132,2,2,1.85,2,"Lo-Key?"
3133,2,2,1.89,2,"Portrait"
3134,2,2,2.00,2,"Jeremy Jordan"
3135,2,2,2.00,2,"Snow"
3136,2,2,1.95,2,"Digable Planets"
3137,2,2,2.00,2,"Boy Krazy"
3138,2,2,1.81,2,"RuPaul"
3139,2,2,0.00,2,"Black Moon"
3140,2,2,2.00,2,"Joey Lawrence"
3141,2,2,2.00,2,"95 South"
3142,2,2,1.96,2,"Tag Team"
3143,2,2,2.00,2,"U.N.V."
3144,2,2,0.00,2,"Rodney O & Joe Cooley"
3145,2,2,1.94,2,"Jazzy Jeff & The Fresh Prince"
3146,2,2,2.00,2,"Zapp & Roger"
3147,2,2,1.83,2,"Scarface"
3148,2,2,2.00,2,"Shaggy"
3149,2,2,1.83,2,"Lisa Keith"
3150,2,2,2.00,2,"Haddaway"
3151,2,2,1.84,2,"Intro"
3152,2,2,0.00,2,"Erick Sermon"
3153,2,2,2.00,2,"Gabrielle"
3154,2,2,2.00,2,"Wu-Tang Clan"
3155,2,2,2.00,2,"Bruce Hornsby"
3156,2,2,2.00,2,"The Lemonheads"
3157,2,2,2.00,2,"Dwight Yoakam"
3158,2,2,2.00,2,"Chantay Savage"
3159,2,2,1.38,2,"Born Jamericans"
3160,2,2,1.45,2,"Blackgirl"
3161,2,2,2.00,2,"Gang Starr"
3162,2,2,1.62,2,"The Brand New Heavies"
