rank,weeks_hindex,peak_hindex,integrated_hindex,total_songs,artist
105,13,16,11.46,16,"Boyz II Men"
106,13,15,9.06,15,"Red Hot Chili Peppers"
107,13,14,8.32,15,"Florida Georgia Line"
108,12,52,11.15,66,"The Beatles"
109,12,43,10.39,64,"Aretha Franklin"
110,12,41,9.60,56,"Kanye West"
111,12,43,11.17,53,"Elvis Presley With The Jordanaires"
112,12,43,10.10,53,"Connie Francis"
113,12,32,9.79,52,"Lil Baby"
114,12,42,9.99,49,"The Temptations"
115,12,30,8.64,48,"Jackie Wilson"
116,12,38,10.30,48,"Brenda Lee"
117,12,35,9.26,47,"Dionne Warwick"
118,12,31,11.50,41,"Billie Eilish"
119,12,34,9.76,38,"Gladys Knight And The Pips"
120,12,34,9.53,37,"Marvin Gaye"
121,12,23,8.74,34,"Barbra Streisand"
122,12,29,10.99,32,"Sabrina Carpenter"
123,12,27,9.72,31,"The Everly Brothers"
124,12,26,10.24,30,"Olivia Rodrigo"
125,12,21,10.05,28,"JAY-Z"
126,12,25,9.67,27,"Linda Ronstadt"
127,12,24,9.09,27,"The Doobie Brothers"
128,12,19,10.07,24,"Kenny Rogers"
129,12,22,10.78,23,"Bruno Mars"
130,12,16,8.70,22,"R.E.M."
131,12,21,9.52,21,"Three Dog Night"
132,12,17,8.14,21,"Luther Vandross"
133,12,18,9.29,20,"ABBA"
134,12,16,7.98,20,"Martina McBride"
135,12,16,9.88,19,"LL Cool J"
136,12,15,10.02,18,"Natalie Cole"
137,12,16,10.02,18,"Sheena Easton"
138,12,16,7.05,18,"Jake Owen"
139,12,17,9.49,17,"Pat Benatar"
140,12,17,8.80,17,"Shania Twain"
141,12,16,10.67,17,"Backstreet Boys"
142,12,16,10.31,16,"Little River Band"
143,12,15,12.12,15,"George Michael"
144,12,15,9.91,15,"TLC"
145,12,13,7.46,15,"Chris Young"
146,12,13,8.94,13,"Monica"
147,12,12,11.91,12,"Destiny's Child"
148,11,33,8.10,48,"Ray Charles"
149,11,31,8.30,45,"Fats Domino"
150,11,31,8.46,43,"Paul Anka"
151,11,34,9.05,43,"Bobby Vinton"
152,11,31,8.47,40,"Bobby Darin"
153,11,35,8.28,40,"Kendrick Lamar"
154,11,28,8.18,39,"Andy Williams"
155,11,27,7.64,37,"The Isley Brothers"
156,11,30,8.38,34,"Sam Cooke"
157,11,29,10.61,34,"SZA"
158,11,28,7.00,32,"Glen Campbell"
159,11,27,7.77,31,"The Drifters"
160,11,24,9.72,30,"The Supremes"
161,11,25,8.73,30,"John Denver"
162,11,21,7.52,29,"The O'Jays"
163,11,19,9.75,29,"One Direction"
164,11,25,8.98,28,"Neil Sedaka"
165,11,23,8.68,28,"Bobby Rydell"
166,11,27,8.73,28,"Roy Orbison"
167,11,23,9.35,28,"The Spinners"
168,11,21,8.66,27,"Anne Murray"
169,11,22,7.90,25,"David Bowie"
170,11,21,7.84,24,"KISS"
171,11,22,11.18,24,"Adele"
172,11,21,8.47,22,"Queen"
173,11,20,9.52,22,"Eddie Money"
174,11,19,6.50,21,"Smokey Robinson"
175,11,18,9.56,21,"Coldplay"
176,11,19,9.70,20,"Helen Reddy"
177,11,18,9.03,20,"T.I."
178,11,17,9.84,19,"Ricky Nelson"
179,11,18,7.57,19,"The Guess Who"
180,11,19,8.99,19,"Jackson 5"
181,11,18,9.23,19,"Bob Seger"
182,11,17,10.08,19,"Avril Lavigne"
183,11,17,8.55,18,"Al Green"
184,11,17,9.22,18,"The Cars"
185,11,15,8.41,17,"Eric Clapton"
186,11,14,9.00,17,"Lonestar"
187,11,13,7.37,16,"New Edition"
188,11,15,9.47,16,"Tina Turner"
189,11,16,10.04,16,"Christina Aguilera"
190,11,16,10.25,16,"Alicia Keys"
191,11,15,8.25,15,"Donny Osmond"
192,11,13,9.42,15,"Sting"
193,11,14,6.72,15,"Trey Songz"
194,11,14,5.52,15,"Justin Moore"
195,11,15,8.55,15,"Imagine Dragons"
196,11,11,8.60,14,"Sam Hunt"
197,11,13,8.34,13,"Don Henley"
198,11,13,9.32,13,"Paula Abdul"
199,11,13,10.98,13,"Aaliyah"
200,11,13,9.60,13,"Brandy"
201,11,12,8.81,13,"Train"
202,11,12,7.68,13,"Sugarland"
203,11,13,6.59,13,"Darius Rucker"
204,11,12,8.08,13,"Lee Brice"
205,11,12,9.90,12,"Billy Ocean"
206,11,12,9.84,12,"Expose"
207,11,11,6.96,12,"Cole Swindell"
208,11,11,7.95,11,"LeAnn Rimes"
209,10,39,7.38,47,"James Brown"
210,10,33,9.28,44,"Brook Benton"
211,10,33,8.52,43,"Four Tops"
212,10,28,5.88,41,"Frank Sinatra"
213,10,26,7.61,38,"The Impressions"
214,10,31,6.99,38,"Wilson Pickett"
215,10,28,7.43,33,"Pat Boone"
216,10,25,6.56,32,"Jerry Butler"
217,10,21,6.72,31,"Johnny Mathis"
218,10,26,8.93,30,"Chubby Checker"
219,10,27,7.89,29,"The 5th Dimension"
220,10,24,8.14,28,"Johnny Rivers"
221,10,26,8.29,27,"Tom Jones"
222,10,22,7.18,26,"The Miracles"
223,10,23,7.50,26,"The Who"
224,10,22,6.94,25,"Johnny Tillotson"
225,10,23,8.10,24,"The Dave Clark Five"
226,10,20,7.51,24,"B.J. Thomas"
227,10,21,7.99,23,"Gene Pitney"
228,10,22,7.00,23,"The Marvelettes"
229,10,18,8.75,23,"Demi Lovato"
230,10,18,7.97,22,"Frankie Avalon"
231,10,19,7.38,22,"The Hollies"
232,10,20,7.14,22,"The Kinks"
233,10,18,7.78,22,"Jonas Brothers"
234,10,21,6.07,21,"Jr. Walker & The All Stars"
235,10,18,7.58,21,"The Moody Blues"
236,10,20,6.87,21,"The Grass Roots"
237,10,19,7.63,21,"Alice Cooper"
238,10,18,8.78,21,"Carly Simon"
239,10,17,8.67,20,"Fall Out Boy"
240,10,19,8.53,19,"Herman's Hermits"
241,10,16,9.29,19,"Selena Gomez"
242,10,14,7.58,19,"Kane Brown"
243,10,16,7.91,18,"Survivor"
244,10,15,5.85,18,"Trace Adkins"
245,10,16,8.65,17,"Simon & Garfunkel"
246,10,17,7.09,17,"Santana"
247,10,15,6.18,17,"The J. Geils Band"
248,10,17,7.89,17,"America"
249,10,17,8.10,17,"Wings"
250,10,15,6.40,17,"ZZ Top"
251,10,17,6.04,17,"Bette Midler"
252,10,16,7.78,17,"Jefferson Starship"
253,10,16,7.55,17,"Tom Petty And The Heartbreakers"
254,10,16,8.39,17,"INXS"
255,10,14,6.30,17,"Depeche Mode"
256,10,15,6.93,17,"Metallica"
257,10,16,8.45,17,"Faith Hill"
258,10,16,7.46,16,"The Stylistics"
259,10,16,6.80,16,"Jermaine Jackson"
260,10,14,5.93,16,"The Alan Parsons Project"
261,10,16,6.30,16,"Cheap Trick"
262,10,15,9.24,16,"Jason Derulo"
263,10,14,6.78,15,"Carole King"
264,10,14,7.18,15,"George Harrison"
265,10,13,7.12,15,"Paul Simon"
266,10,15,8.10,15,"Jackson Browne"
267,10,14,7.48,15,"Dr. Hook"
268,10,14,7.96,15,"Sheryl Crow"
269,10,12,6.67,15,"Dan + Shay"
270,10,13,6.94,14,"Cat Stevens"
271,10,13,7.27,14,"Boz Scaggs"
272,10,13,8.38,14,"War"
273,10,14,6.87,14,"KC And The Sunshine Band"
274,10,14,8.32,14,"Toto"
275,10,14,9.90,14,"Steve Winwood"
276,10,13,9.32,14,"Cyndi Lauper"
277,10,13,7.90,13,"Bread"
278,10,13,6.16,13,"Tavares"
279,10,13,9.30,13,"Air Supply"
280,10,11,7.06,13,"Gary Allan"
281,10,11,6.45,13,"Joe Nichols"
282,10,13,8.63,13,"Dua Lipa"
283,10,12,7.11,12,"Billy Idol"
284,10,12,8.47,12,"Poison"
285,10,11,6.71,12,"Vanessa Williams"
286,10,11,8.93,12,"En Vogue"
287,10,11,7.73,12,"OutKast"
288,10,11,9.08,12,"OneRepublic"
289,10,11,6.47,11,"Anita Baker"
290,10,10,8.08,11,"Stevie B"
291,10,11,9.33,11,"New Kids On The Block"
292,10,11,7.87,11,"Babyface"
293,10,11,9.02,11,"Jodeci"
294,10,10,10.10,11,"Toni Braxton"
295,10,10,7.79,11,"SWV"
296,10,11,8.11,11,"Sara Evans"
297,10,10,8.38,11,"Daughtry"
298,10,10,9.13,10,"Culture Club"
299,10,10,9.43,10,"Taylor Dayne"
300,10,10,9.45,10,"Color Me Badd"
301,10,10,6.73,10,"Ginuwine"
302,10,10,5.35,10,"Foo Fighters"
303,10,10,5.69,10,"Scotty McCreery"
304,10,10,6.02,10,"Jon Pardi"
305,10,10,6.72,10,"Old Dominion"
306,9,34,7.39,75,"Rod Wave"
307,9,37,7.70,58,"Lil Uzi Vert"
308,9,35,7.02,54,"Zach Bryan"
309,9,34,8.05,45,"Post Malone"
310,9,28,6.47,37,"James Brown And The Famous Flames"
311,9,24,6.05,33,"Al Martino"
312,9,18,7.25,31,"Bobby Vee"
313,9,19,6.59,30,"Nat King Cole"
314,9,27,6.51,29,"Dean Martin"
315,9,23,6.05,26,"Bobby Goldsboro"
316,9,18,7.35,24,"The Shirelles"
317,9,20,6.73,24,"Jan & Dean"
318,9,19,7.16,23,"Rick Nelson"
319,9,19,8.61,23,"The 4 Seasons"
320,9,16,7.00,22,"Tommy Roe"
321,9,20,6.96,22,"Petula Clark"
322,9,18,5.52,22,"Engelbert Humperdinck"
323,9,18,9.18,22,"Tate McRae"
324,9,19,6.47,21,"Chuck Berry"
325,9,18,8.10,21,"Dion"
326,9,16,6.12,21,"Mary Wells"
327,9,20,4.98,20,"Jimmie Rodgers"
328,9,15,5.91,20,"Perry Como"
329,9,17,6.39,20,"The Platters"
330,9,19,6.12,20,"Marty Robbins"
331,9,18,6.91,19,"Lesley Gore"
332,9,15,5.81,19,"Johnnie Taylor"
333,9,19,7.17,19,"Tommy James And The Shondells"
334,9,18,6.61,19,"Smokey Robinson & The Miracles"
335,9,15,8.29,18,"John Mayer"
336,9,14,6.60,17,"Conway Twitty"
337,9,14,6.84,17,"The Kingston Trio"
338,9,17,7.06,17,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
339,9,17,7.40,17,"James Taylor"
340,9,12,6.98,16,"Sly & The Family Stone"
341,9,13,7.12,16,"Paul McCartney"
342,9,15,7.30,15,"Martha & The Vandellas"
343,9,15,6.90,15,"Gary Lewis And The Playboys"
344,9,15,8.31,15,"Creedence Clearwater Revival"
345,9,14,6.18,15,"Lobo"
346,9,15,7.14,15,"Steely Dan"
347,9,13,7.42,15,"Barry White"
348,9,14,5.05,15,"Dolly Parton"
349,9,14,7.85,15,"Robert Palmer"
350,9,14,6.58,15,"Lenny Kravitz"
351,9,13,6.48,14,"Paul Davis"
352,9,13,6.58,14,"Ohio Players"
353,9,14,7.21,14,"Eurythmics"
354,9,13,9.11,14,"Doja Cat"
355,9,12,8.51,13,"Dan Fogelberg"
356,9,13,7.03,13,"George Benson"
357,9,13,7.52,13,"Loverboy"
358,9,12,6.70,13,"Laura Branigan"
359,9,12,8.10,13,"Guns N' Roses"
360,9,12,9.27,13,"Ne-Yo"
361,9,12,7.23,12,"Ringo Starr"
362,9,12,8.37,12,"The Police"
363,9,10,6.92,12,"Glenn Frey"
364,9,11,7.33,12,"Motley Crue"
365,9,11,6.72,12,"Jody Watley"
366,9,11,8.58,12,"Roxette"
367,9,10,5.86,12,"Tevin Campbell"
368,9,11,8.87,12,"Goo Goo Dolls"
369,9,10,3.97,12,"Craig Morgan"
370,9,11,6.72,11,"The Osmonds"
371,9,11,4.66,11,"Firefall"
372,9,11,6.96,11,"Stevie Nicks"
373,9,11,6.43,11,"Thompson Twins"
374,9,11,7.54,11,"Howard Jones"
375,9,11,9.31,11,"Bobby Brown"
376,9,10,6.42,11,"The Cover Girls"
377,9,10,7.87,11,"Debbie Gibson"
378,9,11,7.96,11,"Keith Sweat"
379,9,10,6.78,10,"Jim Croce"
380,9,10,4.89,10,"Chaka Khan"
381,9,10,5.65,10,"Jeffrey Osborne"
382,9,9,7.11,10,"Corey Hart"
383,9,9,7.23,10,"Amy Grant"
384,9,10,6.46,10,"Tony Toni Tone"
385,9,9,5.62,10,"John Michael Montgomery"
386,9,10,5.37,10,"Dustin Lynch"
387,9,10,6.20,10,"Jordan Davis"
388,9,9,5.73,9,"Sade"
389,9,9,8.24,9,"Salt-N-Pepa"
390,9,9,6.54,9,"Dru Hill"
391,8,32,6.87,70,"Future"
392,8,21,4.91,34,"Bobby Bland"
393,8,30,8.01,34,"Travis Scott"
394,8,31,7.53,34,"Harry Styles"
395,8,22,5.46,30,"Johnny Cash"
396,8,19,4.46,30,"B.B. King"
397,8,22,6.22,30,"Joe Simon"
